institute_type,department,program,academic_year,semester,course_title,course_type,topics,tools_technologies,programming_languages,math_foundation,bloom_level,credits,project_required,generation_method,is_synthetic
IIIT,CSE,B.Tech,2023-2024,2,Foundations of Visualization,Elective,Visualization;Neural Networks;Clustering,Python,Python,Discrete Math,Understand,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,4,Applied Image Processing,Core,Image Processing;Classification;EDA,NLTK;Git;PyTorch,C++,Basic Math,Create,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,3,Applied Deployment,Core,Deployment;RNN;Graphs;Trees,Java;TensorFlow,Python,Statistics,Understand,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2018-2019,5,Foundations of Cloud Computing,Elective,Cloud Computing;Classification;EDA;Trees;Linked Lists,SQL;HuggingFace;Scikit-learn,Java,Statistics,Analyze,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,6,Advanced Data Pipelines,Core,Data Pipelines;Neural Networks;EDA;HDFS,AWS,Java,Statistics,Analyze,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,4,Applied Deployment,Core,Deployment;Linked Lists;Clustering;RNN;SQL,Java;SQL,Python,Statistics,Create,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2021-2022,3,Advanced Dynamic Programming,Core,Dynamic Programming;Clustering;Visualization;Image Processing;Neural Networks,AWS;PyTorch;Spark,Python,Statistics,Understand,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,2,Applied HDFS,Core,HDFS;Regression;Data Pipelines;Indexing,Java;PyTorch;Pandas,Python,Basic Math,Understand,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2022-2023,5,Advanced Graphs,Core,Graphs;CNN;Indexing;Regression;Normalization,NLTK,Python,Probability,Apply,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,3,Advanced Spark,Core,Spark;RNN;Tokenization,Java,C++,Logic,Understand,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2023-2024,8,Advanced Deployment,Elective,Deployment;Image Processing;Dynamic Programming,OpenCV,Python,Logic,Create,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,4,Applied SQL,Core,SQL;Data Pipelines;HDFS;Transformers;Normalization,Docker;Java;SQL,Python,Logic,Apply,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,1,Foundations of EDA,Core,EDA;HDFS;Linked Lists,Java,Java,Basic Math,Create,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,3,Foundations of Clustering,Core,Clustering;Tokenization;Indexing;Classification;Graphs;HDFS,PyTorch;TensorFlow;Spark,C++,Statistics,Analyze,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,4,Foundations of Image Processing,Elective,Image Processing;Normalization;Dynamic Programming;Indexing,Scikit-learn,Python,Discrete Math,Understand,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2022-2023,1,Foundations of Deployment,Core,Deployment;Clustering;Regression,Docker;Spark,Java,Discrete Math,Create,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,8,Foundations of Indexing,Core,Indexing;EDA;Visualization;Image Processing;Data Pipelines,Docker;Python;SQL,Python,Basic Math,Analyze,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2018-2019,8,Advanced Linked Lists,Elective,Linked Lists;Embeddings;Trees;Regression,AWS,C++,Logic,Apply,6,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,1,Applied Indexing,Core,Indexing;Data Pipelines;Cloud Computing,Git;TensorFlow;Scikit-learn,Java,Statistics,Apply,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,5,Applied RNN,Core,RNN;Trees;Arrays;Normalization;Spark;Cloud Computing,Java,Java,Discrete Math,Apply,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,3,Foundations of Image Processing,Core,Image Processing;EDA;CNN;Spark;HDFS;Embeddings,OpenCV,Java,Discrete Math,Understand,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2022-2023,3,Introduction to CNN,Elective,CNN;Spark;Classification;EDA;RNN,OpenCV,C++,Discrete Math,Create,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2018-2019,1,Foundations of Deployment,Core,Deployment;Dynamic Programming;HDFS;Neural Networks;Regression,Docker;Git;NLTK,C++,Basic Math,Apply,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,6,Advanced Indexing,Core,Indexing;Dynamic Programming;Linked Lists;CNN,Spark;HuggingFace,Python,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,7,Advanced Clustering,Elective,Clustering;Regression;Indexing;Arrays,NLTK,C++,Basic Math,Understand,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,1,Introduction to Clustering,Elective,Clustering;Classification;Normalization;Transformers;CNN;Deployment,C++,Java,Discrete Math,Analyze,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2023-2024,7,Applied Arrays,Elective,Arrays;Graphs;Neural Networks;Regression;Cloud Computing,C++;Java,Java,Logic,Understand,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,4,Advanced Linked Lists,Elective,Linked Lists;EDA;Indexing;Arrays;Embeddings,OpenCV;NLTK;Pandas,Java,Discrete Math,Analyze,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,2,Advanced Embeddings,Elective,Embeddings;CNN;Data Pipelines;Indexing;RNN,NLTK;Scikit-learn,Python,Statistics,Apply,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,5,Introduction to Image Processing,Core,Image Processing;Arrays;CNN;EDA;Classification;Indexing,AWS;OpenCV;TensorFlow,Python,Statistics,Apply,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2018-2019,5,Foundations of Trees,Core,Trees;Deployment;Clustering;Data Pipelines;CNN,HuggingFace,C++,Statistics,Understand,4,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,4,Advanced Tokenization,Elective,Tokenization;SQL;Clustering;Dynamic Programming;HDFS;Arrays,HuggingFace,C++,Logic,Apply,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2021-2022,3,Introduction to Data Pipelines,Core,Data Pipelines;Embeddings;Image Processing;Spark;RNN;Normalization,Pandas;NLTK;Git,Python,Statistics,Create,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,4,Advanced Deployment,Elective,Deployment;Embeddings;Tokenization;HDFS;Clustering,Docker;Java,Java,Probability,Understand,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,4,Foundations of EDA,Core,EDA;Dynamic Programming;Deployment;Classification;Trees;Indexing,TensorFlow;Git,Java,Statistics,Understand,6,No,job_reverse_mapping,True
NIT,DS,B.Tech,2021-2022,8,Advanced Transformers,Elective,Transformers;CNN;Deployment,Pandas;Spark,C++,Probability,Create,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,7,Introduction to Data Pipelines,Core,Data Pipelines;SQL;Visualization;Regression;Normalization,AWS,C++,Basic Math,Create,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,8,Introduction to Linked Lists,Elective,Linked Lists;Neural Networks;SQL;RNN,Docker,Java,Probability,Understand,4,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2018-2019,1,Advanced Clustering,Core,Clustering;HDFS;Trees;Deployment;Linked Lists,SQL,C++,Statistics,Understand,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,8,Foundations of Deployment,Elective,Deployment;Transformers;Regression;Spark;Visualization,Java;HuggingFace;Python,Python,Logic,Create,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2023-2024,4,Foundations of Cloud Computing,Core,Cloud Computing;EDA;HDFS,Java,Java,Logic,Create,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,2,Introduction to Arrays,Core,Arrays;Indexing;Tokenization;Graphs;Transformers,Spark;Pandas;Docker,Python,Logic,Analyze,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,8,Introduction to Indexing,Elective,Indexing;Visualization;Cloud Computing;Neural Networks;RNN;Clustering,Scikit-learn,Java,Discrete Math,Create,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,8,Advanced Transformers,Core,Transformers;Neural Networks;RNN;Spark,Spark;Scikit-learn;Git,C++,Basic Math,Create,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2022-2023,4,Applied HDFS,Elective,HDFS;EDA;Tokenization;Normalization;Arrays;Trees,SQL;PyTorch,Java,Logic,Analyze,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,6,Foundations of EDA,Core,EDA;Normalization;Neural Networks;CNN;Clustering,NLTK,C++,Linear Algebra,Create,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,5,Advanced Classification,Elective,Classification;CNN;Clustering,Python;Scikit-learn,Python,Discrete Math,Understand,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2020-2021,3,Introduction to Graphs,Core,Graphs;Arrays;Cloud Computing;CNN;Tokenization;HDFS,TensorFlow;Python,Python,Discrete Math,Create,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2018-2019,1,Advanced Dynamic Programming,Elective,Dynamic Programming;Cloud Computing;CNN;Trees,Java,Java,Statistics,Analyze,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2021-2022,5,Foundations of Spark,Core,Spark;Visualization;Graphs,OpenCV,C++,Linear Algebra,Understand,3,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2018-2019,7,Foundations of EDA,Core,EDA;Spark;Tokenization;CNN;Linked Lists;Clustering,NLTK;Scikit-learn,Java,Basic Math,Apply,4,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2018-2019,4,Applied Neural Networks,Elective,Neural Networks;Dynamic Programming;Trees;Linked Lists,HuggingFace,C++,Statistics,Analyze,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2021-2022,5,Foundations of Normalization,Elective,Normalization;Trees;Spark;Linked Lists;Indexing;RNN,Scikit-learn;C++;Java,Python,Discrete Math,Apply,4,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,8,Applied Regression,Elective,Regression;Cloud Computing;Indexing;HDFS;Tokenization,Docker,Python,Discrete Math,Apply,4,Yes,job_reverse_mapping,True
